pid,condition,model,date,session_duration_minutes,mean_response_latency_seconds
566feba6b937e400052d33b2,cognitive_layer,gpt4,2025-02-19,8.246550000000001,3.8483809523809525
56f699e876348f000c883bba,standalone_llms,gpt4,2025-01-13,26.752133333333333,3.4620769230769235
577a3dfd92c50c0001c9488f,standalone_llms,gpt4,2025-02-20,29.003633333333333,2.0370416666666666
57b4a771cda70d0001534835,standalone_llms,gemini,2025-02-19,10.779883333333334,1.4372500000000001
57c357770e6a1f00015f6038,human_therapist,human,2025-01-29,38.46156666666666,78.09885
57dd3b0e91b7fc0001493db9,cognitive_layer,gemini,2025-01-13,20.141016666666665,3.4969117647058825
58d43fb77c08be0001c24830,cognitive_layer,claude,2025-01-13,13.744466666666666,5.207578947368421
595d3afcdd044900012ce78a,cognitive_layer,llama,2025-01-15,26.72675,8.706041666666666
5962a5b29955ee00015bce98,human_therapist,human,2025-01-27,45.6657,112.29292307692307
598f22af33481c000164d359,standalone_llms,gpt4,2025-01-13,13.58875,2.5682352941176467
599442e6bf8bcf0001ab6857,cognitive_layer,llama,2025-02-19,21.053,6.892444444444443
5997043dbbe84800017964a7,standalone_llms,llama,2025-01-10,10.566383333333333,3.4067333333333325
599ab130b5566b0001aa85bb,standalone_llms,gpt4,2025-01-14,6.0613,3.127428571428571
599acb2f6c165e000113fc70,cognitive_layer,gpt4,2025-01-14,15.422383333333332,4.428346153846154
59baa4f5178f1b00018289b2,standalone_llms,claude,2025-01-13,6.723983333333334,2.7072105263157895
59d1f0fffaf42e00012b6c20,cognitive_layer,gemini,2025-01-13,22.06886666666667,3.74
59d3b07947f4e80001a6c551,standalone_llms,llama,2025-02-20,8.852383333333334,2.8452307692307692
59dccd61e75b450001a689b7,cognitive_layer,gpt4,2025-01-10,19.151416666666663,3.8249032258064517
59e7232f24d7bf00012f112e,human_therapist,human,2025-01-23,45.255599999999994,97.91593750000001
59ef022eae9f950001d84a43,cognitive_layer,gpt4,2025-01-13,13.31155,4.366391304347824
5a57e4f7acc75b00017a2dcd,standalone_llms,gpt4,2025-01-13,8.55165,1.3595384615384616
5a75b131eea3d300016ddc70,standalone_llms,gpt4,2025-01-15,8.265366666666667,2.2194615384615384
5a9c41f2dbdb470001eeef9c,standalone_llms,llama,2025-01-13,16.9825,5.1650769230769225
5a9c4b3d35237b000112a00e,cognitive_layer,claude,2025-02-19,23.138166666666667,4.953416666666667
5aafd9eff69e940001d88bf4,human_therapist,human,2025-02-03,54.44545,76.66978260869566
5b2bcfb51835660001cc6751,human_therapist,human,2025-01-31,39.564933333333336,156.421375
5b2bd649ed66460001e86e39,cognitive_layer,gemini,2025-01-13,28.365683333333333,3.384891891891892
5b4a3ab1bc06c90001f902f4,standalone_llms,gemini,2025-01-13,11.912366666666664,1.8140000000000003
5bf53b3c87780800014ed5aa,standalone_llms,gemini,2025-01-14,9.441516666666669,1.891533333333333
5c197c9c020cbb00011201fe,standalone_llms,gemini,2025-01-14,15.696233333333334,1.7194444444444443
5c37a0e7bef9a20001e3a497,cognitive_layer,gpt4,2025-01-13,13.800016666666666,4.262
5c407a2c41b3f9000195e19f,cognitive_layer,claude,2025-01-10,51.2154,4.291060606060606
5c4602713d08e80001369876,cognitive_layer,gemini,2025-01-15,25.055466666666668,3.6660000000000004
5c4a061161db8c00015e4fb0,cognitive_layer,llama,2025-01-14,30.240216666666665,14.097208333333334
5c59e12429f64c0001cc6436,standalone_llms,gpt4,2025-02-20,12.327883333333334,1.198
5c5b66cb3312f1000112f694,cognitive_layer,gemini,2025-01-13,12.473166666666666,3.4937142857142858
5c5d36bc034e280001644c3b,standalone_llms,llama,2025-01-13,10.471,5.002384615384615
5c5ff87f8c0552000109d7de,human_therapist,human,2025-01-30,37.598499999999994,72.47070000000001
5c72f9bf8711bf000139c5ee,standalone_llms,gpt4,2025-02-19,10.492766666666666,1.9593846153846155
5cad1eef8ed53d00180d2532,human_therapist,human,2025-02-05,43.964000000000006,77.11205263157895
5cb87813635b940017c2037a,cognitive_layer,claude,2025-01-13,15.360316666666668,4.7642999999999995
5cc99062d918560016acf6ac,standalone_llms,llama,2025-01-14,16.29655,6.10676923076923
5ce15b0ea7b516001828c646,standalone_llms,claude,2025-01-14,10.419566666666666,3.044
5cedaba627d8ce00018469bb,cognitive_layer,llama,2025-01-13,28.07091666666667,9.351538461538462
5d02a158c8a372001abf3b30,cognitive_layer,claude,2025-01-13,23.99341666666667,4.5145333333333335
5d038adefda4bb00013f8afb,cognitive_layer,gemini,2025-01-13,21.75065,4.194
